QUERY ID,执行次数,min,max,avg,95%,用户,查询语句,业务场景,修复计划
71,10,2s,8s,3s,3s,misuser,"SELECT CASE WHEN (SELECT COUNT(*) FROM mis_work_order orders WHERE orders.orderFid=o.contractId AND orders.configType='WARN' AND orders.status=1)>0 THEN 1 ELSE 0 END isOrderWarn, ec.consultantId, ec.cooperateConsultantId, ec.createdByFid, o.`contractId`, o.`clientId`, c.contractType, o.`orderProp`, o.`teachProp`, o.`orderStatus`, o.`realLessonCount`, o.`teacherId`, o.`teacherName`, o.`subjectId`, o.`gradeId`, o.`createTime`, c.`contractNo`, u.`userRealName` as chargeName, ec.`clientName` realName, ec.`clientName` parentRealName, ec.`chargeFid`, ec.`phoneNo` AS parentTel, ec.`phoneNo` AS studentTel, s.`statusDesc`, u.`userOrgFid`, u.`userId`, tu2.`userOrgFid` as ccUserOrgFid, tu2.`userId` as ccUserId, CASE WHEN o.`orderProp` = 1 THEN '新' WHEN o.`orderProp` = 2 THEN '续' WHEN o.`orderProp` = 3 THEN '扩' WHEN o.`orderProp` = 4 THEN '赠' ELSE '' END AS orderPropDesc, CASE WHEN o.`teachProp` = 1 THEN '新签' WHEN o.`teachProp` = 2 THEN '续科' WHEN o.`teachProp` = 3 THEN '赠送' ELSE '' END AS teachPropDesc, maxel.startTime AS lessonStartTime, (o.`realLessonCount` - ifNUll(maxel.courseHours,0)) AS remainHours, IF(elr.orderFid is not null, 1, 0) hasReport, ec.studentId FROM erp_contract_orders o JOIN erp_contract c ON o.`contractFid` = c.`contractId` LEFT JOIN erp_clients ec ON ec.`clientId` = o.`clientId` LEFT JOIN mis_user_info u ON u.`userId` = ec.`chargeFid` LEFT JOIN mis_user_info tu2 ON tu2.userId = ec.consultantId LEFT JOIN erp_order_status s ON s.`statusId` = o.`orderStatus` left join ( SELECT DATE_FORMAT(max(l.startTime), '%Y-%m-%d %H:%i') startTime,IFNULL(sum(courseHours),0) courseHours, l.contractId FROM erp_lessons l WHERE l.lessonStatus in (1,3,4) AND l.contractId>0 GROUP BY l.contractId ) maxel on maxel.contractId=o.contractId LEFT JOIN ( SELECT DISTINCT r.orderFid FROM erp_learn_report r )elr on elr.orderFid=o.contractId WHERE o.orderStatus>0  and 2=2 and ec.chargeFid in ( 900001430 ) and not exists (select 1 from user_test ut where ut.userId = ec.studentId and ut.accType = 'STU') ORDER BY o.contractId DESC LIMIT 0, 10",工单列表查询,需要根据业务相应调整
1,3962,3s,10s,4s,5s,erpuser,"SELECT b.*,mui.userRealName operatorName, t1.importCnt FROM erp_lesson_book_files b LEFT JOIN mis_user_info mui on mui.userId = b.operator LEFT JOIN ( SELECT t.fileId,COUNT(DISTINCT t.lessonId) importCnt FROM erp_lesson_docs t WHERE t.parentId = 0 AND t.fileId != 0 GROUP BY t.fileId ) t1 ON t1.fileId=b.fileId WHERE catalogCode like '%tdwaoj/%' and parentId = 0 order by fileStatus desc, createTime desc limit 0,20",erp:查询课件,
2,3854,3s,115s,4s,5s,erpuser,"SELECT count(*) FROM erp_lesson_book_files b LEFT JOIN mis_user_info mui ON mui.userId = b.operator LEFT JOIN (SELECT t.fileId, COUNT(DISTINCT t.lessonId) importCnt FROM erp_lesson_docs t WHERE t.parentId = 0 AND t.fileId != 0 GROUP BY t.fileId) t1 ON t1.fileId = b.fileId WHERE catalogCode LIKE '%lrwhgc/siaijv/%' AND parentId = 0",erp:查询课件总数,
70,10,2s,7s,3s,3s,misuser,"SELECT count(1) FROM erp_contract_orders o JOIN erp_contract c ON o.`contractFid` = c.`contractId` LEFT JOIN erp_clients ec ON ec.`clientId` = o.`clientId` LEFT JOIN mis_user_info u ON u.`userId` = ec.`chargeFid` LEFT JOIN mis_user_info tu2 ON tu2.userId = ec.consultantId left join ( SELECT DATE_FORMAT(max(l.startTime), '%Y-%m-%d %H:%i') startTime,IFNULL(sum(courseHours),0) courseHours, l.contractId FROM erp_lessons l WHERE l.lessonStatus in (1,3,4) AND l.contractId>0 GROUP BY l.contractId ) maxel on maxel.contractId=o.contractId LEFT JOIN ( SELECT DISTINCT r.orderFid FROM erp_learn_report r )elr on elr.orderFid=o.contractId WHERE o.orderStatus>0  and 2=2 and ec.chargeFid in ( 900001430 ) and not exists (select 1 from user_test ut where ut.userId = ec.studentId and ut.accType = 'STU')",api:订单列表数,
16,151,2s,5s,3s,4s,erpuser,"SELECT l.*, IFNULL(c.clientName,t.nickName) studentName, mui.userRealName teacherName, g.gradeName gradeName, s.subjectName subjectName, o1.userRealName ccName, u1.userRealName chargeName, u1.userMobile chargePhone, stulc.param1 stuParam1, stulc.param2 stuParam2, stulc.param3 stuParam3, stulc.param4 stuParam4, tealc.param1 teaParam1, tealc.param2 teaParam2, tealc.param3 teaParam3, c.eduSystem FROM erp_lessons l LEFT JOIN erp_clients c ON l.clientId=c.clientId LEFT JOIN t_user_info t ON l.studentId=t.id LEFT JOIN mis_user_info mui ON mui.userId = l.teacherId LEFT JOIN erp_conf_student_grades g ON l.gradeId=g.gradeId LEFT JOIN erp_conf_course_subjects s ON l.subjectId=s.subjectId LEFT JOIN mis_user_info o1 ON o1.userId = c.consultantId LEFT JOIN mis_user_info u1 ON u1.userId=c.chargeFid LEFT JOIN lesson_comment stulc ON stulc.lessonFid=l.lessonId and stulc.commentBy='STU' LEFT JOIN lesson_comment tealc ON tealc.lessonFid=l.lessonId and tealc.commentBy='TEA' WHERE (c.clientName like '%鲍美霖%' OR t.nickName like '%鲍美霖%') and (c.consultantId in ( 107157 , 110244 , 115245 , 115877 , 117466 , 118233 , 121446 , 900000059 , 900000151 , 900000326 , 900000378 , 900000380 , 900000414 , 900000458 , 900000460 , 900000475 , 900000482 , 900000561 , 900000581 , 900000582 /*... omitted 70 items ...*/) or EXISTS (select distinct 1 from erp_client_cr t1 where t1.clientFid=l.clientId and t1.endTime is null and t1.crFid in ( 107157 , 110244 , 115245 , 115877 , 117466 , 118233 , 121446 , 900000059 , 900000151 , 900000326 , 900000378 , 900000380 , 900000414 , 900000458 , 900000460 , 900000475 , 900000482 , 900000561 , 900000581 , 900000582 /*... omitted 70 items ...*/))) order by startTime desc limit 0,20",erp:课程明细列表,
37,33,3s,5s,4s,5s,misuser,"SELECT temp.lessonDate,temp.scheduleId,GROUP_CONCAT(teacherIds) teacherIds FROM ( SELECT lessonDate,scheduleId,CONCAT(',',(GROUP_CONCAT(DISTINCT teacherId)),',') teacherIds FROM erp_teacher_schedule WHERE lessonId > 0 AND lessonDate BETWEEN '2018-04-15' and DATE_ADD('2018-04-15',INTERVAL 6 DAY) GROUP BY lessonDate,scheduleId UNION SELECT lessonDate,scheduleId,(SELECT CONCAT(',',GROUP_CONCAT(mti1.userFid),',') FROM mis_teacher_info mti1 WHERE mti1.teacherType=1 and mti1.isTeach = 1 AND NOT FIND_IN_SET(mti1.userFid,IFNULL(teacherIds,''))) teacherIds from( select b.scheduleId,b.date lessonDate,temp.teacherIds from ( select a.scheduleId,t.date from erp_conf_lesson_schedule_201609 a,( select w.date from mis_calendar_week w where w.date between (select subdate('2018-04-15',if(date_format('2018-04-15','%w')=0,7,date_format('2018-04-15','%w'))-1)) and date_add((select subdate('2018-04-15',if(date_format('2018-04-15','%w')=0,7,date_format('2018-04-15','%w'))-1)),INTERVAL 6 DAY) ) t ) b left join ( select et.scheduleId scheduleId,date_format(date_add((select subdate('2018-04-15',if(date_format('2018-04-15','%w')=0,7,date_format('2018-04-15','%w'))-1)),INTERVAL (IF(et.dayOfWeek=1,6,et.dayOfWeek-2)) DAY),'%Y-%m-%d') lessonDate , CONCAT(',',GROUP_CONCAT(mti.userFid),',') teacherIds from mis_teacher_info mti,erp_timetable et where ( exists(select 1 from erp_conf_timetable tmpect where tmpect.relatedFid=mti.timetableFid and et.timetableFid=tmpect.timetableId and (select subdate('2018-04-15',if(date_format('2018-04-15','%w')=0,7,date_format('2018-04-15','%w'))-1)) between tmpect.beginDate and tmpect.endDate) or ( not exists(select 1 from erp_conf_timetable tmpect where tmpect.relatedFid=mti.timetableFid and (select subdate('2018-04-15',if(date_format('2018-04-15','%w')=0,7,date_format('2018-04-15','%w'))-1)) between tmpect.beginDate and tmpect.endDate) and et.timetableFid=mti.timetableFid ) ) AND mti.teacherType=1 and mti.isTeach = 1 GROUP BY lessonDate,scheduleId )temp on b.scheduleId = temp.scheduleId and b.date = temp.lessonDate ) t UNION SELECT lessonDate,scheduleId,(SELECT CONCAT(',',GROUP_CONCAT(mti1.userFid),',') FROM mis_teacher_info mti1 WHERE mti1.teacherType=1 and mti1.isTeach = 1 AND NOT FIND_IN_SET(mti1.userFid,IFNULL(teacherIds,''))) teacherIds from( select b.scheduleId,b.date lessonDate,temp.teacherIds from ( select a.scheduleId,t.date from erp_conf_lesson_schedule_201609 a,( select w.date from mis_calendar_week w where w.date between (select subdate('2018-04-16',if(date_format('2018-04-16','%w')=0,7,date_format('2018-04-16','%w'))-1)) and date_add((select subdate('2018-04-16',if(date_format('2018-04-16','%w')=0,7,date_format('2018-04-16','%w'))-1)),INTERVAL 6 DAY) ) t ) b left join ( select et.scheduleId scheduleId,date_format(date_add((select subdate('2018-04-16',if(date_format('2018-04-16','%w')=0,7,date_format('2018-04-16','%w'))-1)),INTERVAL (IF(et.dayOfWeek=1,6,et.dayOfWeek-2)) DAY),'%Y-%m-%d') lessonDate , CONCAT(',',GROUP_CONCAT(mti.userFid),',') teacherIds from mis_teacher_info mti,erp_timetable et where ( exists(select 1 from erp_conf_timetable tmpect where tmpect.relatedFid=mti.timetableFid and et.timetableFid=tmpect.timetableId and (select subdate('2018-04-16',if(date_format('2018-04-16','%w')=0,7,date_format('2018-04-16','%w'))-1)) between tmpect.beginDate and tmpect.endDate) or ( not exists(select 1 from erp_conf_timetable tmpect where tmpect.relatedFid=mti.timetableFid and (select subdate('2018-04-16',if(date_format('2018-04-16','%w')=0,7,date_format('2018-04-16','%w'))-1)) between tmpect.beginDate and tmpect.endDate) and et.timetableFid=mti.timetableFid ) ) AND mti.teacherType=1 and mti.isTeach = 1 GROUP BY lessonDate,scheduleId )temp on b.scheduleId = temp.scheduleId and b.date = temp.lessonDate ) t ) temp where lessonDate BETWEEN '2018-04-15' and DATE_ADD('2018-04-15',INTERVAL 6 DAY) GROUP BY lessonDate,scheduleId","cloud试听库存列表,已排课老师（不包含请假）",
63,16,2s,3s,2s,3s,misuser,delete from erp_teacher_schedule WHERE isFree = 1 AND lessonId IN (SELECT l.lessonId FROM erp_lessons l WHERE l.contractId = 15386 AND l.lessonStatus = 0 ),api 换老师、停课，删除老师课表数据,
7,150,8s,27s,13s,18s,misuser,"insert IGNORE client_sea(clientFid, clientSea, flag, clientType, viewTime, latestFollowTime) SELECT ec.clientId,ec.clientSea,ec.flag,ec.clientType ,ec.viewTime,ifnull(ecf.createdOn,now()) from erp_clients ec left join( select max(id) id,clientFid,count(0) followNum,max(createdOn) createdOn from erp_client_follow where followStatusFid in(select statusId from erp_follow_status where type like '%,CC,%') GROUP BY clientFid ) ecf on ecf.clientFid=ec.clientId WHERE ec.clientSea='P' and ec.clientType = 'C' and ec.viewTime<=now() and ec.flag is not null and not exists(select 1 from callcenter_outer_log where ec.clientId=callcenter_outer_log.clientFid and createdOn>date_add(now(),INTERVAL -120 MINUTE)) and ec.phoneNo REGEXP '^[0]?[1][3456789][0-9]{9}$' and not exists(select 1 from callcenter_outer_log where ec.clientId=callcenter_outer_log.clientFid and createdOn>date_add(now(),INTERVAL -120 MINUTE)) and date(ec.createdOnTime) >='2016-01-01' and date(ec.createdOnTime) <='2018-03-20'  and ec.secondChannelFid not in(21006,27001,27006,21002,21001,39003,27008,27005,27004,21005,39001,39004,39002,21004,39010,39009,21003,39012,39005,39006/*... omitted 10 items ...*/) ORDER BY ec.topTimes>0 desc,ec.viewTime asc LIMIT 1000",event 客户海数据查询插入,
12,103,6s,16s,8s,11s,misuser,"insert IGNORE client_sea(clientFid, clientSea, flag, clientType, viewTime, latestFollowTime) SELECT ec.clientId,ec.clientSea,ec.flag,ec.clientType ,ec.viewTime,ifnull(ecf.createdOn,now()) from erp_clients ec left join(select max(createdOn) createdOn,clientFid,count(0) followNum from erp_client_follow where followStatusFid in(select statusId from erp_follow_status where type like '%,CC,%') GROUP BY clientFid ) ecf on ecf.clientFid=ec.clientId where ec.clientSea='P' and ec.clientType in ('R','N') and ec.viewTime <= now() and ec.flag is not null and ec.phoneNo REGEXP '^[0]?[1][3456789][0-9]{9}$' and not exists(select 1 from callcenter_outer_log where ec.clientId=callcenter_outer_log.clientFid and createdOn>date_add(now(),INTERVAL -120 MINUTE)) ORDER BY ec.topTimes>0 desc,ec.viewTime asc LIMIT 1000",event 客户海数据查询插入,
35,75,2s,2s,2s,2s,misuser,"select count(0) from erp_contract_orders tmpeco join ( select eof.orderFid,eof.orderStatusFid from erp_order_flow eof join (select max(flowId) flowId from erp_order_flow where orderStatusFid>0 and createdOn < '2018-04-09 11:48:02' GROUP BY orderFid) tmp on tmp.flowId=eof.flowId ) tmpeof on tmpeco.contractId=tmpeof.orderFid LEFT JOIN (select contractId,sum(courseHours) overHours from erp_lessons where lessonStatus in(1,3,4) and contractId>0 GROUP BY contractId) tmpel on tmpel.contractId=tmpeco.contractId where tmpeof.orderStatusFid in(1,2,6) and (orderStatusFid=1 or tmpel.overHours!=tmpeco.realLessonCount) and tmpeco.teacherId=900000967 and tmpeco.subjectId=3 and tmpeco.contractId!=21711 and tmpeco.clientId=406249",event 教师kpi 结果map返回判断是否有未结课订单,
